id,SKU,Descripcion,PrecioLista,Precio Distribuidor,idProveedor,Activo,Fotografia,Especificacion,Video,Status,Unidad, Moneda,Categorizacion
 ,1342-HL,COLADERA DESAGÜE DE CONTORNO RED 3B CR, ,1559.0,,,http://portal.helvex.com.mx/images/productos/1342-HL.jpg,,,,ST,MXN,
 ,1342-HLI,COLADERA DESAGÜE CONTORNO 3B INSERTO CR, ,1559.0,,,http://portal.helvex.com.mx/images/productos/1342-HLI.jpg,,,,ST,MXN,
 ,140-38,FLUX MANIJA WC OC 38 CR, ,3911.0,,,http://portal.helvex.com.mx/images/productos/140-38.jpg,,,,ST,MXN,
 ,14104-S,PORTAPAPEL SENC KUBICA S, ,953.0,,,http://portal.helvex.com.mx/images/productos/14104-S.jpg,,,,ST,MXN,
 ,14105-26CM,TOALL BARRA KUBICA D 26CM CR, ,1874.0,,,http://portal.helvex.com.mx/images/productos/14105-26CM.jpg,,,,ST,MXN,
 ,14105-38CM,TOALL BARRA KUBICA D 38CM CR, ,1874.0,,,http://portal.helvex.com.mx/images/productos/14105-38CM.jpg,,,,ST,MXN,
 ,14105-40CM,TOALL BARRA KUBICA D 40CM CR, ,1874.0,,,http://portal.helvex.com.mx/images/productos/14105-40CM.jpg,,,,ST,MXN,
 ,14105-52CM,TOALL BARRA KUBICA D 52CM CR, ,1874.0,,,http://portal.helvex.com.mx/images/productos/14105-52CM.jpg,,,,ST,MXN,
 ,14105-58CM,TOALL BARRA KUBICA D 58CM CR, ,1874.0,,,http://portal.helvex.com.mx/images/productos/14105-58CM.jpg,,,,ST,MXN,
 ,14105-S,TOALL BARRA KUBICA S, ,2065.0,,,http://portal.helvex.com.mx/images/productos/14105-S.jpg,,,,ST,MXN,
 ,14106-S,GANCHO DBL KUBICA S, ,806.0,,,http://portal.helvex.com.mx/images/productos/14106-S.jpg,,,,ST,MXN,
 ,14107-S,CEP KUBICA S, ,1199.0,,,http://portal.helvex.com.mx/images/productos/14107-S.jpg,,,,ST,MXN,
 ,14108-S,JAB SENC KUBICA S, ,1595.0,,,http://portal.helvex.com.mx/images/productos/14108-S.jpg,,,,ST,MXN,
 ,14108-SD,JAB SENC KUBICA SD, ,1675.0,,,http://portal.helvex.com.mx/images/productos/14108-SD.jpg,,,,ST,MXN,
 ,14109-IZQ,TOALL SENC IZQ KUBICA CR, ,1159.0,,,http://portal.helvex.com.mx/images/productos/14109-IZQ.jpg,,,,ST,MXN,
 ,14109-S,TOALL SENC KUBICA S, ,1282.0,,,http://portal.helvex.com.mx/images/productos/14109-S.jpg,,,,ST,MXN,
 ,14148-S,JAB DOSIF CRISTAL KUBICA S, ,2225.0,,,http://portal.helvex.com.mx/images/productos/14148-S.jpg,,,,ST,MXN,
 ,142-32,FLUX MANIJA WC OC 32 CR, ,3911.0,,,http://portal.helvex.com.mx/images/productos/142-32.jpg,,,,ST,MXN,
 ,143-19,FLUX MANIJA MING OC 19 CR, ,3911.0,,,http://portal.helvex.com.mx/images/productos/143-19.jpg,,,,ST,MXN,
 ,150-32,FLUX BOTON WC NPL RECT OC 32 CR, ,3962.0,,,http://portal.helvex.com.mx/images/productos/150-32.jpg,,,,ST,MXN,
 ,150-38,FLUX BOTON WC NPL RECT OC 38 CR, ,3962.0,,,http://portal.helvex.com.mx/images/productos/150-38.jpg,,,,ST,MXN,
 ,15104-S,PORTAPAPEL SENC PREMIER S, ,930.0,,,http://portal.helvex.com.mx/images/productos/15104-S.jpg,,,,ST,MXN,
 ,15105-S,TOALL BARRA PREMIER S, ,1661.0,,,http://portal.helvex.com.mx/images/productos/15105-S.jpg,,,,ST,MXN,
 ,15106-S,GANCHO SENC PREMIER S, ,410.0,,,http://portal.helvex.com.mx/images/productos/15106-S.jpg,,,,ST,MXN,
 ,15107-S,CEP PREMIER S, ,835.0,,,http://portal.helvex.com.mx/images/productos/15107-S.jpg,,,,ST,MXN,
 ,15108-S,JAB SENC PREMIER S, ,1112.0,,,http://portal.helvex.com.mx/images/productos/15108-S.jpg,,,,ST,MXN,
 ,15109-IZQ,TOALLERO SENCILLO IZQ. PREMIER CR, ,777.0,,,http://portal.helvex.com.mx/images/productos/15109-IZQ.jpg,,,,ST,MXN,
 ,15109-S,TOALL SENC PREMIER S, ,893.0,,,http://portal.helvex.com.mx/images/productos/15109-S.jpg,,,,ST,MXN,
 ,152-32,FLUX BOTON WC NPL RECT CODO OC 32 CR, ,4414.0,,,http://portal.helvex.com.mx/images/productos/152-32.jpg,,,,ST,MXN,
 ,152-38,FLUX BOTON WC NPL RECT CODO OC 38 CR, ,4414.0,,,http://portal.helvex.com.mx/images/productos/152-38.jpg,,,,ST,MXN,
 ,153-19,FLUX BOTON MING NPL RECT CODO OC 19 CR, ,3962.0,,,http://portal.helvex.com.mx/images/productos/153-19.jpg,,,,ST,MXN,
 ,16104-S,PORTAPAPEL SENC VERTIKA S, ,967.0,,,http://portal.helvex.com.mx/images/productos/16104-S.jpg,,,,ST,MXN,
 ,16104-SD,PORTAPAPEL SENC VERTIKA SD, ,1018.0,,,http://portal.helvex.com.mx/images/productos/16104-SD.jpg,,,,ST,MXN,
 ,16105-S,TOALL BARRA VERTIKA S, ,2095.0,,,http://portal.helvex.com.mx/images/productos/16105-S.jpg,,,,ST,MXN,
 ,16105-SD,TOALL BARRA VERTIKA SD, ,2200.0,,,http://portal.helvex.com.mx/images/productos/16105-SD.jpg,,,,ST,MXN,
 ,16106-S,GANCHO DBL VERTIKA S, ,813.0,,,http://portal.helvex.com.mx/images/productos/16106-S.jpg,,,,ST,MXN,
 ,16106-SD,GANCHO DBL VERTIKA SD, ,852.0,,,http://portal.helvex.com.mx/images/productos/16106-SD.jpg,,,,ST,MXN,
 ,16107-S,CEP VERTIKA S, ,1347.0,,,http://portal.helvex.com.mx/images/productos/16107-S.jpg,,,,ST,MXN,
 ,16108-S,JAB SENC VERTIKA S, ,1347.0,,,http://portal.helvex.com.mx/images/productos/16108-S.jpg,,,,ST,MXN,
 ,16108-SD,JAB SENC VERTIKA SD, ,1414.0,,,http://portal.helvex.com.mx/images/productos/16108-SD.jpg,,,,ST,MXN,
 ,16109-S,TOALL SENC VERTIKA S, ,1274.0,,,http://portal.helvex.com.mx/images/productos/16109-S.jpg,,,,ST,MXN,
 ,18104-S,PORTAPAPEL SENC SPIRA S, ,920.0,,,http://portal.helvex.com.mx/images/productos/18104-S.jpg,,,,ST,MXN,
 ,185-19,FLUX MANIJA MING OC 19 CR, ,3467.0,,,http://portal.helvex.com.mx/images/productos/185-19.jpg,,,,ST,MXN,
 ,185-19-0.5,FLUX MANIJA MING RECT 19 0.5L CR, ,3467.0,,,http://portal.helvex.com.mx/images/productos/185-19-0.5.jpg,,,,ST,MXN,
 ,185-19-1,FLUX MANIJA MING RECT 19 1L CR, ,3467.0,,,http://portal.helvex.com.mx/images/productos/185-19-1.jpg,,,,ST,MXN,
 ,19105-ND,TOALLERO DE BARRA MAGNA DX ND, ,1948.0,,,http://portal.helvex.com.mx/images/productos/19105-ND.jpg,,,,ST,MXN,
 ,19105-S,TOALL BARRA MAGNA DX S, ,1948.0,,,http://portal.helvex.com.mx/images/productos/19105-S.jpg,,,,ST,MXN,
 ,19106-ND,GANCHO SENC MAGNA DX ND, ,760.0,,,http://portal.helvex.com.mx/images/productos/19106-ND.jpg,,,,ST,MXN,
 ,19106-S,GANCHO SENC MAGNA DX S, ,760.0,,,http://portal.helvex.com.mx/images/productos/19106-S.jpg,,,,ST,MXN,
 ,19106-SD,GANCHO SENC MAGNA DX SD, ,799.0,,,http://portal.helvex.com.mx/images/productos/19106-SD.jpg,,,,ST,MXN,
